method,slot,mean_discovery_rate,ci95_low,ci95_high
isac_candidate_pool_random,1,0.00014814814814814815,0.0,0.00043851851851851864
isac_candidate_pool_random,2,0.001037037037037037,0.0002844162605757603,0.001789657813498314
isac_candidate_pool_random,3,0.0022222222222222227,0.001075203140286178,0.0033692413041582674
isac_candidate_pool_random,4,0.003407407407407407,0.001995870699106268,0.004818944115708546
isac_candidate_pool_random,5,0.00474074074074074,0.0031140821333996613,0.006367399348081818
isac_candidate_pool_random,6,0.005629629629629629,0.0038725301701746572,0.0073867290890846015
isac_candidate_pool_random,7,0.006518518518518519,0.004696905400399025,0.008340131636638014
isac_candidate_pool_random,8,0.007703703703703703,0.005816183869196765,0.009591223538210642
isac_candidate_pool_random,9,0.009185185185185187,0.007201197596535192,0.011169172773835181
isac_candidate_pool_random,10,0.010370370370370372,0.008164355732023313,0.01257638500871743
isac_candidate_pool_random,11,0.012296296296296296,0.009840127916802971,0.014752464675789622
isac_candidate_pool_random,12,0.013037037037037036,0.010524494534288484,0.015549579539785589
isac_candidate_pool_random,13,0.014666666666666661,0.011970207618824242,0.01736312571450908
isac_candidate_pool_random,14,0.015555555555555557,0.01276869434449258,0.018342416766618533
isac_candidate_pool_random,15,0.016888888888888887,0.013870146554613433,0.019907631223164343
isac_candidate_pool_random,16,0.018518518518518517,0.015289556678169792,0.02174748035886724
isac_candidate_pool_random,17,0.019259259259259257,0.016023732257594268,0.022494786260924247
isac_candidate_pool_random,18,0.021333333333333336,0.017889070860291005,0.024777595806375667
isac_candidate_pool_random,19,0.022518518518518514,0.018903358296556,0.026133678740481028
isac_candidate_pool_random,20,0.023407407407407408,0.019750228932489875,0.02706458588232494
isac_candidate_pool_random,21,0.02474074074074074,0.02102028392332903,0.028461197558152452
isac_candidate_pool_random,22,0.026370370370370374,0.02243159503202207,0.030309145708718677
isac_candidate_pool_random,23,0.028148148148148144,0.024181884657681976,0.03211441163861431
isac_candidate_pool_random,24,0.029925925925925925,0.0255269982818788,0.03432485356997305
isac_candidate_pool_random,25,0.03214814814814815,0.027777288961726453,0.03651900733456984
isac_candidate_pool_random,26,0.03481481481481482,0.030293517233795482,0.03933611239583416
isac_candidate_pool_random,27,0.0362962962962963,0.03175626397654004,0.040836328616052554
isac_candidate_pool_random,28,0.03866666666666667,0.03397920998532274,0.043354123348010594
isac_candidate_pool_random,29,0.04118518518518519,0.03635579733704303,0.04601457303332736
isac_candidate_pool_random,30,0.043111111111111114,0.0382146391578149,0.048007583064407326
isac_candidate_pool_random,31,0.04577777777777778,0.04076142759786442,0.050794127957691136
isac_candidate_pool_random,32,0.048740740740740744,0.0434210884119266,0.05406039306955489
isac_candidate_pool_random,33,0.051703703703703696,0.04626101670588744,0.05714639070151995
isac_candidate_pool_random,34,0.05362962962962963,0.04822308800409626,0.059036171255163
isac_candidate_pool_random,35,0.05599999999999999,0.05055383114556799,0.061446168854431986
isac_candidate_pool_random,36,0.059851851851851844,0.05409907274398283,0.06560463095972086
isac_candidate_pool_random,37,0.06296296296296296,0.057072113255719044,0.06885381267020688
isac_candidate_pool_random,38,0.06577777777777777,0.05971000172033173,0.0718455538352238
isac_candidate_pool_random,39,0.06874074074074073,0.06254195188963797,0.07493952959184348
isac_candidate_pool_random,40,0.07214814814814813,0.06572620693338653,0.07857008936290973
isac_candidate_pool_random,41,0.0754074074074074,0.06901248635994155,0.08180232845487324
isac_candidate_pool_random,42,0.07911111111111109,0.07243585550208774,0.08578636672013444
isac_candidate_pool_random,43,0.0828148148148148,0.07607103399783809,0.08955859563179151
isac_candidate_pool_random,44,0.08562962962962961,0.07879222555694307,0.09246703370231615
isac_candidate_pool_random,45,0.08948148148148147,0.08242945276647048,0.09653351019649245
isac_candidate_pool_random,46,0.09362962962962962,0.08635670270014295,0.10090255655911629
isac_candidate_pool_random,47,0.0985185185185185,0.09112027651296462,0.1059167605240724
isac_candidate_pool_random,48,0.10414814814814816,0.09649367433069218,0.11180262196560413
isac_candidate_pool_random,49,0.10962962962962962,0.10168640950479867,0.11757284975446057
isac_candidate_pool_random,50,0.11466666666666664,0.10640484098776945,0.12292849234556383
isac_candidate_pool_random,51,0.12088888888888888,0.11239005449123726,0.1293877232865405
isac_candidate_pool_random,52,0.1262222222222222,0.11768512254796641,0.13475932189647802
isac_candidate_pool_random,53,0.13244444444444445,0.12341863590524813,0.14147025298364077
isac_candidate_pool_random,54,0.1385185185185185,0.12936629329008084,0.14767074374695618
isac_candidate_pool_random,55,0.1425185185185185,0.13331293590019702,0.15172410113683996
isac_candidate_pool_random,56,0.1465185185185185,0.13728614299868097,0.155750894038356
isac_candidate_pool_random,57,0.1527407407407407,0.14349733921764027,0.16198414226384114
isac_candidate_pool_random,58,0.15881481481481483,0.1496258442317842,0.16800378539784544
isac_candidate_pool_random,59,0.16385185185185183,0.15444235548920143,0.17326134821450223
isac_candidate_pool_random,60,0.17155555555555552,0.16206009313158037,0.18105101797953066
isac_candidate_pool_random,61,0.1791111111111111,0.16928088104962025,0.18894134117260197
isac_candidate_pool_random,62,0.18696296296296294,0.1768858029203494,0.1970401230055765
isac_candidate_pool_random,63,0.19437037037037033,0.18388860166031237,0.2048521390804283
isac_candidate_pool_random,64,0.20207407407407404,0.1914862726694963,0.21266187547865179
isac_candidate_pool_random,65,0.20918518518518517,0.1983138561009447,0.22005651426942563
isac_candidate_pool_random,66,0.2162962962962963,0.20518953569304035,0.22740305689955223
isac_candidate_pool_random,67,0.22340740740740736,0.21211030407498913,0.2347045107398256
isac_candidate_pool_random,68,0.2321481481481481,0.22062968676043396,0.24366660953586225
isac_candidate_pool_random,69,0.24074074074074067,0.22904037226150176,0.2524411092199796
isac_candidate_pool_random,70,0.24888888888888885,0.23711920303866996,0.26065857473910775
isac_candidate_pool_random,71,0.25718518518518513,0.24498109504032425,0.269389275330046
isac_candidate_pool_random,72,0.26370370370370366,0.2514626682804706,0.27594473912693673
isac_candidate_pool_random,73,0.2728888888888888,0.2606170123640886,0.285160765413689
isac_candidate_pool_random,74,0.28103703703703703,0.2684239539398815,0.29365012013419256
isac_candidate_pool_random,75,0.2875555555555555,0.27460319848436726,0.30050791262674376
isac_candidate_pool_random,76,0.29570370370370364,0.2826162880237393,0.308791119383668
isac_candidate_pool_random,77,0.3047407407407407,0.2912421703825799,0.3182393110989015
isac_candidate_pool_random,78,0.3137777777777777,0.30031961676654395,0.32723593878901147
isac_candidate_pool_random,79,0.32074074074074066,0.30716017064689033,0.334321310834591
isac_candidate_pool_random,80,0.330074074074074,0.3165187155531299,0.34362943259501816
isac_candidate_pool_random,81,0.33925925925925926,0.32563345080529377,0.35288506771322475
isac_candidate_pool_random,82,0.3475555555555555,0.33398209167682946,0.36112901943428155
isac_candidate_pool_random,83,0.35555555555555546,0.3416685388684171,0.36944257224269383
isac_candidate_pool_random,84,0.36340740740740735,0.34948902957559946,0.37732578523921523
isac_candidate_pool_random,85,0.3739259259259259,0.35952433823781216,0.3883275136140396
isac_candidate_pool_random,86,0.38474074074074066,0.37036044559814835,0.399121035883333
isac_candidate_pool_random,87,0.3951111111111111,0.38063824667493307,0.4095839755472891
isac_candidate_pool_random,88,0.40503703703703703,0.3902320653609259,0.41984200871314814
isac_candidate_pool_random,89,0.41362962962962957,0.3986897383416628,0.4285695209175963
isac_candidate_pool_random,90,0.4220740740740741,0.4068153868837762,0.437332761264372
isac_candidate_pool_random,91,0.43229629629629635,0.4166363022463099,0.4479562903462828
isac_candidate_pool_random,92,0.44029629629629624,0.42463738633053066,0.4559552062620618
isac_candidate_pool_random,93,0.45199999999999996,0.436706122405444,0.46729387759455593
isac_candidate_pool_random,94,0.462074074074074,0.44645907841025123,0.4776890697378968
isac_candidate_pool_random,95,0.46829629629629627,0.4528683268508591,0.48372426574173344
isac_candidate_pool_random,96,0.47644444444444445,0.4607687756969441,0.4921201131919448
isac_candidate_pool_random,97,0.4835555555555555,0.46781935775741124,0.4992917533536998
isac_candidate_pool_random,98,0.49274074074074076,0.4766521265252981,0.5088293549561834
isac_candidate_pool_random,99,0.5010370370370371,0.48494399173299607,0.517130082341078
isac_candidate_pool_random,100,0.5094814814814814,0.4932178700023495,0.5257450929606133
isac_candidate_pool_random,101,0.5185185185185185,0.5021168227116977,0.5349202143253393
isac_candidate_pool_random,102,0.5271111111111111,0.5103386508672774,0.5438835713549448
isac_candidate_pool_random,103,0.536,0.5190073256128847,0.5529926743871154
isac_candidate_pool_random,104,0.5471111111111111,0.5297392894065933,0.5644829328156289
isac_candidate_pool_random,105,0.5571851851851852,0.5396750182207453,0.5746953521496252
isac_candidate_pool_random,106,0.5648888888888888,0.5473294757734701,0.5824483020043074
isac_candidate_pool_random,107,0.5749629629629629,0.5572206841191777,0.5927052418067481
isac_candidate_pool_random,108,0.5831111111111111,0.5652620693964492,0.6009601528257731
isac_candidate_pool_random,109,0.5918518518518519,0.5741809037945482,0.6095227999091555
isac_candidate_pool_random,110,0.5991111111111111,0.581166265739044,0.6170559564831783
isac_candidate_pool_random,111,0.6078518518518519,0.5900006385984676,0.6257030651052361
isac_candidate_pool_random,112,0.6174814814814815,0.5993685276081886,0.6355944353547744
isac_candidate_pool_random,113,0.6262222222222222,0.6083665716089603,0.6440778728354841
isac_candidate_pool_random,114,0.6362962962962964,0.6182545720491152,0.6543380205434776
isac_candidate_pool_random,115,0.6451851851851852,0.6268726214811942,0.6634977488891762
isac_candidate_pool_random,116,0.6554074074074073,0.6373453233153523,0.6734694914994623
isac_candidate_pool_random,117,0.6665185185185185,0.6485802176379839,0.6844568193990531
isac_candidate_pool_random,118,0.674962962962963,0.6571050465519731,0.6928208793739529
isac_candidate_pool_random,119,0.6838518518518519,0.6659720844561591,0.7017316192475448
isac_candidate_pool_random,120,0.6927407407407407,0.6748296684947007,0.7106518129867806
isac_candidate_pool_random,121,0.7020740740740741,0.6842278066070778,0.7199203415410703
isac_candidate_pool_random,122,0.7102222222222222,0.6926550282171542,0.7277894162272902
isac_candidate_pool_random,123,0.7186666666666666,0.7009266205430488,0.7364067127902844
isac_candidate_pool_random,124,0.7294814814814814,0.7118907885284804,0.7470721744344824
isac_candidate_pool_random,125,0.7383703703703705,0.7206479566597558,0.7560927840809851
isac_candidate_pool_random,126,0.7477037037037036,0.7299048712564193,0.765502536150988
isac_candidate_pool_random,127,0.7571851851851852,0.7391308567560032,0.7752395136143672
isac_candidate_pool_random,128,0.7654814814814815,0.7474486042315105,0.7835143587314526
isac_candidate_pool_random,129,0.772888888888889,0.7547278092504776,0.7910499685273004
isac_candidate_pool_random,130,0.7828148148148147,0.764657116189334,0.8009725134402955
isac_candidate_pool_random,131,0.7906666666666666,0.7724663696504517,0.8088669636828816
isac_candidate_pool_random,132,0.7988148148148149,0.7806821896066742,0.8169474400229555
isac_candidate_pool_random,133,0.8071111111111111,0.7890134719474451,0.8252087502747771
isac_candidate_pool_random,134,0.8139259259259258,0.7961394492141821,0.8317124026376695
isac_candidate_pool_random,135,0.8207407407407407,0.803237507097625,0.8382439743838563
isac_candidate_pool_random,136,0.8291851851851851,0.8115877863075698,0.8467825840628005
isac_candidate_pool_random,137,0.8355555555555555,0.8181723529169709,0.8529387581941401
isac_candidate_pool_random,138,0.8408888888888889,0.8233497415991385,0.8584280361786393
isac_candidate_pool_random,139,0.8482962962962963,0.8311453799878377,0.865447212604755
isac_candidate_pool_random,140,0.8555555555555558,0.8385987341609603,0.8725123769501514
isac_candidate_pool_random,141,0.8604444444444446,0.8436770456902346,0.8772118431986545
isac_candidate_pool_random,142,0.8681481481481482,0.8517051034627536,0.8845911928335428
isac_candidate_pool_random,143,0.8736296296296295,0.8575495117469901,0.889709747512269
isac_candidate_pool_random,144,0.8810370370370371,0.8652015971853064,0.8968724768887677
isac_candidate_pool_random,145,0.8865185185185186,0.8708989030628724,0.9021381339741648
isac_candidate_pool_random,146,0.8912592592592593,0.8756613959315769,0.9068571225869417
isac_candidate_pool_random,147,0.8979259259259258,0.8827307868353896,0.913121065016462
isac_candidate_pool_random,148,0.9032592592592592,0.8883799988562059,0.9181385196623125
isac_candidate_pool_random,149,0.9099259259259259,0.8956068527950225,0.9242449990568293
isac_candidate_pool_random,150,0.9154074074074071,0.9013159335971767,0.9294988812176376
isac_candidate_pool_random,151,0.921185185185185,0.9074420215606772,0.9349283488096928
isac_candidate_pool_random,152,0.9260740740740739,0.9126881540866938,0.9394599940614541
isac_candidate_pool_random,153,0.9302222222222222,0.9171083500794337,0.9433360943650106
isac_candidate_pool_random,154,0.9342222222222222,0.9214969622610091,0.9469474821834353
isac_candidate_pool_random,155,0.9374814814814814,0.9248599892053626,0.9501029737576001
isac_candidate_pool_random,156,0.9413333333333335,0.9289845077440326,0.9536821589226343
isac_candidate_pool_random,157,0.9450370370370369,0.9331047896143133,0.9569692844597605
isac_candidate_pool_random,158,0.948,0.9364279180339694,0.9595720819660305
isac_candidate_pool_random,159,0.9508148148148149,0.9394742168912715,0.9621554127383583
isac_candidate_pool_random,160,0.9534814814814816,0.9425466266078227,0.9644163363551405
isac_candidate_pool_random,161,0.9560000000000002,0.9452916434231375,0.9667083565768628
