active_beam_accuracy,bc_beam_loss,bc_mode_loss,beam_accuracy,entropy,env_collision_count,env_discovered_edges,env_discovery_rate,env_empty_scan_ratio,env_idle_actions,env_lambda2,env_lcc_ratio,env_mean_delay_censored,env_p95_delay_censored,env_piggyback_sense_actions,env_rx_actions,env_scan_actions,env_sense_actions,env_true_edges_seen,env_tx_actions,episode,expert_collision_count,expert_discovered_edges,expert_discovery_rate,expert_empty_scan_ratio,expert_idle_actions,expert_lambda2,expert_lcc_ratio,expert_mean_delay_censored,expert_p95_delay_censored,expert_piggyback_sense_actions,expert_protocol,expert_rx_actions,expert_scan_actions,expert_sense_actions,expert_true_edges_seen,expert_tx_actions,loss,mode_accuracy,phase,reward_mean,seed,slots,value_loss,run,probe_group,env_protocol,variant,train_seed,rule_residual_scale,candidate_mask,candidate_score,topology_deficit,rule_residual,policy_loss
0.0605670103092783,4.3139967918396,1.3927090167999268,0.05875,5.655059337615967,694,31,0.7045454545454546,0.5940721649484536,24,3.4519955416370545,1.0,46.77272727272727,80.0,776,364,776,0,44,412,0,535.0,34.0,0.7727272727272727,0.3556701030927835,24.0,4.591815481961192,1.0,41.11363636363637,80.0,776.0,improved_rl_isac,364.0,776.0,0.0,44.0,412.0,6.20239782333374,0.05875,bc,0.0431750006973743,20260705,80,2.005387783050537,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1335927367055771,4.253914833068848,1.3470895290374756,0.12875,5.656309604644775,722,26,0.5777777777777777,0.569390402075227,29,2.902180063018136,1.0,48.333333333333336,80.0,771,364,771,0,45,407,1,464.0,26.0,0.5777777777777777,0.3086900129701686,29.0,2.872301497264346,1.0,46.73333333333333,80.0,771.0,improved_rl_isac,364.0,771.0,0.0,45.0,407.0,5.803656578063965,0.21375,bc,0.0310687515884637,20260706,80,0.833232045173645,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1253229974160206,4.1895856857299805,1.2935559749603271,0.12125,5.650472164154053,657,30,0.6666666666666666,0.541343669250646,26,3.605430811326344,1.0,42.73333333333333,80.0,774,370,774,0,45,404,2,484.0,37.0,0.8222222222222222,0.2881136950904392,26.0,5.000000000000002,1.0,32.75555555555555,80.0,774.0,improved_rl_isac,370.0,774.0,0.0,45.0,404.0,5.819642066955566,0.49125,bc,0.0434000007808208,20260707,80,1.368602275848389,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1666666666666666,4.129894733428955,1.254935622215271,0.16125,5.642979621887207,504,29,0.6444444444444445,0.5219638242894057,26,3.679115500552511,1.0,46.11111111111112,80.0,774,391,774,0,45,383,3,414.0,32.0,0.7111111111111111,0.2855297157622739,26.0,4.564100381430382,1.0,39.266666666666666,80.0,774.0,improved_rl_isac,391.0,774.0,0.0,45.0,383.0,5.718623638153076,0.50375,bc,0.0408750064671039,20260708,80,1.3577449321746826,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1306017925736235,4.093321800231934,1.1929527521133425,0.1275,5.623385906219482,700,24,0.5333333333333333,0.6222791293213829,19,2.77162982322144,1.0,48.75555555555555,80.0,781,366,781,0,45,415,4,467.0,26.0,0.5777777777777777,0.3380281690140845,19.0,4.0,1.0,47.95555555555556,80.0,781.0,improved_rl_isac,366.0,781.0,0.0,45.0,415.0,5.529696941375732,0.51625,bc,0.0256062559783458,20260709,80,0.9961839318275452,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1593264248704663,4.018795013427734,1.169642448425293,0.15375,5.610631465911865,537,25,0.5555555555555556,0.5414507772020726,28,2.2267449449400725,1.0,48.73333333333333,80.0,772,350,772,0,45,422,5,525.0,31.0,0.6888888888888889,0.3225388601036269,28.0,2.8979636106551263,1.0,45.73333333333333,80.0,772.0,improved_rl_isac,350.0,772.0,0.0,45.0,422.0,5.492061614990234,0.49625,bc,0.0298375058919191,20260710,80,1.2369391918182373,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.2095730918499353,3.9785351753234863,1.159679889678955,0.2025,5.601362705230713,516,26,0.5777777777777777,0.5420439844760673,27,3.0186906211905344,1.0,48.8,80.0,773,367,773,0,45,406,6,473.0,31.0,0.6888888888888889,0.3078913324708926,27.0,4.096364504953531,1.0,43.44444444444444,80.0,773.0,improved_rl_isac,367.0,773.0,0.0,45.0,406.0,5.381204128265381,0.49375,bc,0.0314437560737133,20260711,80,0.9943627119064332,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1304909560723514,3.936856031417847,1.0960246324539185,0.12625,5.555545806884766,609,26,0.5777777777777777,0.661498708010336,26,3.116601585710759,1.0,48.977777777777774,80.0,774,357,774,0,45,417,7,430.0,29.0,0.6444444444444445,0.3798449612403101,26.0,3.686225408031073,1.0,45.93333333333333,80.0,774.0,improved_rl_isac,357.0,774.0,0.0,45.0,417.0,5.237377643585205,0.5175,bc,0.0292375031858682,20260712,80,0.8402104377746582,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.196870925684485,3.7948505878448486,1.0928480625152588,0.18875,5.532992362976074,433,24,0.5333333333333333,0.4146023468057366,33,2.5863717544903606,1.0,49.44444444444444,80.0,767,365,767,0,45,402,8,335.0,32.0,0.7111111111111111,0.302477183833116,33.0,4.999999999999999,1.0,40.31111111111111,80.0,767.0,improved_rl_isac,365.0,767.0,0.0,45.0,402.0,5.080244064331055,0.47375,bc,0.0302312560379505,20260713,80,0.792314350605011,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
0.1677588466579292,3.81348180770874,1.0711004734039309,0.16,5.49778413772583,559,27,0.6,0.5753604193971167,37,2.985403579023836,1.0,48.62222222222222,80.0,763,372,763,0,45,391,9,408.0,35.0,0.7777777777777778,0.3682830930537352,37.0,5.247059199253341,1.0,38.02222222222223,80.0,763.0,improved_rl_isac,372.0,763.0,0.0,45.0,391.0,5.093538761138916,0.48,bc,0.0337937548756599,20260714,80,0.8578166961669922,flat_s20260705,core,isac_structured_marl,flat,20260705,1.0,False,False,False,False,
